club_code,state,reporting_group_company_level
007,AK,ACA
007,AL,ACA
007,AR,ACA
007,AZ,ACA
000,RI,Independent
000,SC,Independent
000,SD,Independent
000,TN,Independent
000,TX,Independent
000,UT,Independent
000,VA,Independent
000,VI,Independent
000,VT,Independent
000,WA,Independent
000,WI,Independent
000,WV,Independent
000,WY,Independent
000,ZZ,Independent
001,AK,ACE
001,AL,ACE
001,AR,ACE
001,AZ,ACE
001,CA,ACE
001,CO,ACE
001,CT,ACE
001,DC,ACE
001,DE,ACE
001,FL,ACE
001,GA,ACE
001,HI,ACE
001,IA,ACE
001,UT,ACE
001,VA,ACE
001,VI,ACE
001,VT,ACE
001,WA,ACE
001,WI,ACE
001,WV,ACE
001,WY,ACE
001,ZZ,ACE
002,AK,MWG
002,AL,MWG
002,AR,MWG
002,AZ,MWG
002,CA,MWG
002,CO,MWG
002,CT,MWG
002,DC,MWG
002,DE,MWG
002,FL,MWG
002,GA,MWG
151,NM,ACE
151,NV,ACE
151,OH,ACE
151,OK,ACE
151,OR,ACE
151,PA,ACE
151,PR,ACE
151,RI,ACE
151,SC,ACE
151,SD,ACE
151,TN,ACE
151,TX,ACE
177,NH,Independent
177,NJ,Independent
177,NM,Independent
177,NV,Independent
177,OH,Independent
177,OK,Independent
177,OR,Independent
177,PA,Independent
177,PR,Independent
133,WA,ACA
133,WI,ACA
133,WV,ACA
133,WY,ACA
133,ZZ,ACA
135,AK,Independent
135,AL,Independent
135,AR,Independent
135,AZ,Independent
135,CA,Independent
135,CO,Independent
135,CT,Independent
135,DC,Independent
135,DE,Independent
135,FL,Independent
160,VI,Independent
160,VT,Independent
160,WA,Independent
160,WI,Independent
160,WV,Independent
160,WY,Independent
160,ZZ,Independent
164,AK,ACA
164,AL,ACA
164,AR,ACA
164,AZ,ACA
164,CA,ACA
164,CO,ACA
164,CT,ACA
188,MI,Independent
188,MN,Independent
188,MO,Independent
188,MS,Independent
188,MT,Independent
188,NC,Independent
188,ND,Independent
188,NE,Independent
188,NH,Independent
188,NJ,Independent
188,NM,Independent
188,NV,Independent
188,OH,Independent
227,NH,ACE
227,NJ,ACE
227,NM,ACE
227,NV,ACE
227,OH,ACE
227,OK,ACE
227,OR,ACE
227,PA,ACE
227,PR,ACE
227,RI,ACE
227,SC,ACE
227,SD,ACE
227,TN,ACE
227,TX,ACE
227,UT,ACE
227,VA,ACE
227,VI,ACE
240,NV,AAA NE
240,NY,AAA NE
240,OH,AAA NE
240,OK,AAA NE
240,OR,AAA NE
240,PA,AAA NE
