club_code,state,reporting_group_company_level
252,ME,ACE
999,MI,Independent
999,MN,Independent
999,MO,Independent
999,MS,Independent
999,MT,Independent
999,NC,Independent
999,ND,Independent
999,NE,Independent
999,NH,Independent
999,NJ,Independent
999,NM,Independent
999,NV,Independent
219,DC,Independent
219,DE,Independent
219,FL,Independent
219,GA,Independent
219,HI,Independent
219,IA,Independent
219,ID,Independent
219,IL,Independent
219,IN,Independent
219,KS,Independent
219,KY,Independent
219,LA,Independent
219,MA,Independent
219,MD,Independent
219,ME,Independent
219,MI,Independent
219,MN,Independent
219,MO,Independent
219,MS,Independent
219,MT,Independent
219,NC,Independent
219,ND,Independent
219,NE,Independent
219,NH,Independent
219,NJ,Independent
219,NM,Independent
219,NV,Independent
219,OH,Independent
219,OK,Independent
219,OR,Independent
219,PA,Independent
219,PR,Independent
222,WV,Independent
222,WY,Independent
222,ZZ,Independent
227,AK,ACE
227,AL,ACE
227,AR,ACE
227,AZ,ACE
227,CA,ACE
227,CO,ACE
227,CT,ACE
227,DC,ACE
227,DE,ACE
227,FL,ACE
227,GA,ACE
227,HI,ACE
227,IA,ACE
227,ID,ACE
227,IL,ACE
227,IN,ACE
227,KS,ACE
227,KY,ACE
227,LA,ACE
227,MA,ACE
227,MD,ACE
227,ME,ACE
227,MI,ACE
227,MN,ACE
227,MO,ACE
227,MS,ACE
227,MT,ACE
227,NC,ACE
227,ND,ACE
227,NE,ACE
112,ME,Independent
112,MI,Independent
112,MN,Independent
112,MO,Independent
112,MS,Independent
112,MT,Independent
112,NC,Independent
112,ND,Independent
112,NE,Independent
112,NH,Independent
112,NJ,Independent
112,NM,Independent
112,NV,Independent
112,OH,Independent
112,OK,Independent
112,OR,Independent
112,PA,Independent
112,PR,Independent
112,RI,Independent
112,SC,Independent
112,SD,Independent
112,TN,Independent
112,TX,Independent
112,UT,Independent
112,VA,Independent
112,VI,Independent
112,VT,Independent
112,WA,Independent
112,WI,Independent
112,WV,Independent
112,WY,Independent
112,ZZ,Independent
113,AK,ACG
113,AL,ACG
113,AR,ACG
113,AZ,ACG
113,CA,ACG
113,CO,ACG
113,CT,ACG
113,DC,ACG
113,DE,ACG
074,IA,AAA NE
074,ID,AAA NE
074,IL,AAA NE
074,IN,AAA NE
074,KS,AAA NE
074,KY,AAA NE
074,LA,AAA NE
074,MA,AAA NE
074,MD,AAA NE
074,ME,AAA NE
074,MI,AAA NE
074,MN,AAA NE
069,OH,ACG
069,OK,ACG
069,OR,ACG
069,PA,ACG
069,PR,ACG
069,RI,ACG
069,SC,ACG
069,SD,ACG
069,TN,ACG
049,UT,ACG
049,VA,ACG
049,VI,ACG
049,VT,ACG
049,WA,ACG
049,WI,ACG
049,WV,ACG
049,WY,ACG
049,ZZ,ACG
111,SC,ACG
111,SD,ACG
111,TN,ACG
111,TX,ACG
111,UT,ACG
111,VA,ACG
111,VI,ACG
111,VT,ACG
111,WA,ACG
111,WI,ACG
117,IA,Independent
117,ID,Independent
117,IL,Independent
117,IN,Independent
117,KS,Independent
002,VT,MWG
002,WA,MWG
002,WI,MWG
002,WV,MWG
002,WY,MWG
002,ZZ,MWG
004,AK,ACE
004,AL,ACE
004,AR,ACE
004,AZ,ACE
004,CA,ACE
004,CO,ACE
004,CT,ACE
004,DC,ACE
004,DE,ACE
004,FL,ACE
004,GA,ACE
004,HI,ACE
004,IA,ACE
004,ID,ACE
004,IL,ACE
006,AR,ACG
006,AZ,ACG
006,CA,ACG
006,CO,ACG
006,CT,ACG
006,DC,ACG
006,DE,ACG
006,FL,ACG
006,GA,ACG
006,HI,ACG
006,IA,ACG
006,ID,ACG
006,IL,ACG
006,IN,ACG
137,MA,Independent
137,MD,Independent
137,ME,Independent
137,MI,Independent
137,MN,Independent
137,MO,Independent
137,MS,Independent
137,MT,Independent
137,NC,Independent
137,ND,Independent
137,NE,Independent
137,NH,Independent
137,NJ,Independent
137,NM,Independent
137,NV,Independent
032,MI,ACA
032,MN,ACA
032,MO,ACA
032,MS,ACA
032,MT,ACA
032,NC,ACA
032,ND,ACA
032,NE,ACA
032,NH,ACA
032,NJ,ACA
032,NM,ACA
032,NV,ACA
032,OH,ACA
032,OK,ACA
032,OR,ACA
032,PA,ACA
032,PR,ACA
032,RI,ACA
032,SC,ACA
032,SD,ACA
032,TN,ACA
032,TX,ACA
032,UT,ACA
032,VA,ACA
032,VI,ACA
032,VT,ACA
032,WA,ACA
032,WI,ACA
032,WV,ACA
032,WY,ACA
032,ZZ,ACA
033,AK,ACE
033,AL,ACE
033,AR,ACE
033,AZ,ACE
033,CA,ACE
033,CO,ACE
033,CT,ACE
033,DC,ACE
023,MS,Independent
023,MT,Independent
023,NC,Independent
023,ND,Independent
133,AK,ACA
133,AL,ACA
133,AR,ACA
133,AZ,ACA
133,CA,ACA
133,CO,ACA
133,CT,ACA
133,DC,ACA
133,DE,ACA
133,FL,ACA
133,GA,ACA
133,HI,ACA
117,WA,Independent
117,WI,Independent
117,WV,Independent
117,WY,Independent
117,ZZ,Independent
119,AK,Independent
119,AL,Independent
119,AR,Independent
119,AZ,Independent
119,CA,Independent
119,CO,Independent
119,CT,Independent
119,DC,Independent
119,DE,Independent
119,FL,Independent
119,GA,Independent
119,HI,Independent
119,IA,Independent
119,ID,Independent
119,IL,Independent
119,IN,Independent
119,KS,Independent
119,KY,Independent
069,TX,ACG
069,UT,ACG
069,VA,ACG
069,VI,ACG
069,VT,ACG
069,WA,ACG
069,WI,ACG
069,WV,ACG
069,WY,ACG
069,ZZ,ACG
071,AK,Independent
071,AL,Independent
071,AR,Independent
071,AZ,Independent
071,CA,Independent
071,CO,Independent
071,CT,Independent
117,KY,Independent
117,LA,Independent
117,MA,Independent
117,MD,Independent
117,ME,Independent
113,FL,ACG
023,OR,Independent
023,PA,Independent
023,PR,Independent
023,RI,Independent
023,SC,Independent
023,SD,Independent
023,TN,Independent
023,TX,Independent
023,UT,Independent
023,VA,Independent
023,VI,Independent
023,VT,Independent
023,WA,Independent
023,WI,Independent
023,WV,Independent
023,WY,Independent
023,ZZ,Independent
032,AK,ACA
032,AL,ACA
032,AR,ACA
032,AZ,ACA
071,DC,Independent
071,DE,Independent
071,FL,Independent
071,GA,Independent
071,HI,Independent
071,IA,Independent
032,CA,ACA
032,CO,ACA
032,CT,ACA
032,DC,ACA
032,DE,ACA
033,DE,ACE
033,FL,ACE
033,GA,ACE
033,HI,ACE
033,IA,ACE
033,ID,ACE
033,IL,ACE
033,IN,ACE
033,KS,ACE
033,KY,ACE
033,LA,ACE
033,MA,ACE
032,FL,ACA
032,GA,ACA
032,HI,ACA
032,IA,ACA
032,ID,ACA
032,IL,ACA
135,MN,Independent
135,MO,Independent
135,MS,Independent
135,MT,Independent
135,NC,Independent
135,ND,Independent
135,NE,Independent
135,NH,Independent
